Team,Previous__appearances,Previous__titles,Previous__finals,Previous__semifinals
Iceland,0,0,0,0
Panama,0,0,0,0
Senegal,1,0,0,0
Egypt,2,0,0,0
IR Iran,4,0,0,0
Australia,4,0,0,0
Denmark,4,0,0,0
Peru,4,0,0,0
Costa Rica,4,0,0,0
Saudi Arabia,4,0,0,0
Morocco,4,0,0,0
Tunisia,4,0,0,0
Japan,5,0,0,0
Nigeria,5,0,0,0
Colombia,5,0,0,0
Switzerland,10,0,0,0
Mexico,15,0,0,0
Croatia,4,0,0,1
Korea Republic,9,0,0,1
Russia,10,0,0,1
Belgium,12,0,0,1
Portugal,6,0,0,2
Poland,7,0,0,2
Serbia,11,0,0,2
Spain,14,1,1,2
England,14,1,1,2
Sweden,11,0,1,4
Uruguay,12,2,2,5
France,14,1,2,5
Argentina,16,2,5,5
Brazil,20,5,7,11
Germany,18,4,8,13
